kWp,Price/kWp,Total Price
5,5462372.645290151,27311863.226450756
6,5000351.242445261,30002107.45467157
7,4640342.075919702,32482394.53143791
8,4349507.483971373,34796059.871770985
9,4108141.3740035244,36973272.36603172
10,3903604.0870447922,39036040.87044792
11,3727364.4629477407,41001009.092425145
12,3573427.3024194213,42881127.62903306
13,3437439.2243297845,44686709.9162872
14,3316152.058659828,46426128.82123759
15,3207086.198583883,48106292.97875824
16,3108311.4048804855,49732982.47808777
17,3018299.5044292402,51311091.57529709
18,2935822.6725057373,52844808.10510327
19,2859881.509472114,54337748.67997017
20,3040440.188,60808803.760000005
25,2990289.998125,74757249.953125
30,2944321.387,88329641.61
35,2902334.870375,101581720.46312499
40,2864130.9639999997,114565238.55999999
45,2829510.183625,127327958.263125
50,2798273.045,139913652.25
55,2770220.063875,152362103.513125
60,2745151.756,164709105.36
65,2722868.637125,176986461.41312498
70,2703171.2229999998,189221985.60999998
75,2685860.029375,201439502.203125
80,2670735.5719999997,213658845.76
85,2657598.366625,225895861.16312498
90,2646248.929,238162403.61
95,2636487.7748749997,250466338.61312497
100,2628115.42,262811542.0
105,2620932.3801249997,275197899.913125
110,2614739.171,287621308.81
115,2609336.308375,300073675.463125
120,2604524.3079999997,312542916.96
125,2600103.685625,325012960.703125
130,2595874.957,337463744.40999997
135,2591638.637875,349871216.113125
140,2587195.244,362207334.15999997
145,2582345.2911249995,374440067.21312493
150,2576889.295,386533394.25
